City,State,County,Materials_Cost,Installation_Cost,Composite_Cost,Total_Construction_Cost_Index,Cnt_CoastalStorm,Cnt_DamBreak,Cnt_Drought,Cnt_Earthquake,Cnt_Fire,Cnt_FishingLosses,Cnt_Flood,Cnt_Freezing,Cnt_HumanCause,Cnt_Hurricane,Cnt_MudLandslide,Cnt_Other,Cnt_SevereIce,Cnt_SevereStorms,Cnt_Snow,Cnt_Terrorist,Cnt_Tornado,Cnt_Toxic,Cnt_Tsunami,Cnt_Typhoon,Cnt_Volcano,Cnt_All_Incidents,cents_per_kwh,Mean_Temp_F
Phoenix,Arizona,Maricopa,98.4,72.1,87.0,257.5,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,7.29,73.92684642438444
Los Angeles,California,Los Angeles,98.4,129.3,111.8,339.5,1.0,0.0,0.0,3.0,8.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,17.18,62.11981242672922
San Diego,California,San Diego,100.3,121.3,109.4,331.0,1.0,0.0,0.0,0.0,5.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,17.18,63.881359906213326
San Francisco,California,San Francisco,107.6,159.0,129.8,396.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,17.18,57.482297772567385
Denver,Colorado,Denver,104.0,75.1,91.5,270.6,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,8.34,48.87561547479482
Miami,Florida,Miami-Dade,96.2,70.4,85.1,251.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,8.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,8.11,76.74525205158258
Atlanta,Georgia,Fulton,98.7,76.7,89.2,264.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,9.0,7.24,62.78147713950769
Chicago,Illinois,Cook,100.5,144.4,119.5,364.4,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,7.51,49.84819277108438
Indianapolis,Indiana,Marion,99.5,82.9,92.3,274.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.64,52.86143024618995
Baltimore,Maryland,Baltimore City,102.3,83.1,94.0,279.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,8.72,54.87116060961319
Boston,Massachusetts,Suffolk,100.2,132.9,114.3,347.4,2.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,15.68,50.89085580304803
Detroit,Michigan,Wayne,99.5,100.9,100.1,300.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.85,49.73766756032166
Kansas City,Missouri,Jackson,97.5,101.8,99.3,298.6,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,7.93,54.552068965517236
St. Louis,Missouri,St Louis,97.5,104.6,100.6,302.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.93,56.405861664712766
Buffalo,New York,Erie,100.9,109.8,104.8,315.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.35,47.44361078546303
New York,New York,New York,100.3,174.2,132.2,406.7,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,7.35,54.221570926142974
Cincinnati,Ohio,Hamilton,98.0,79.2,89.9,267.1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,6.85,53.832121922626044
Cleveland,Ohio,Cuyahoga,99.4,91.5,96.0,286.9,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,13.0,6.85,51.24994138335291
Columbus,Ohio,Franklin,99.2,83.2,92.3,274.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,13.0,6.85,53.39226260257912
Philadelphia,Pennsylvania,Philadelphia,99.7,136.9,115.8,352.4,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,6.85,54.834818288393876
Pittsburgh,Pennsylvania,Allegheny,99.3,102.6,100.7,302.6,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6.85,50.103048065650675
Memphis,Tennessee,Shelby,96.5,72.5,86.1,255.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,5.86,62.21219226260257
Nashville,Tennessee,Davidson,100.0,74.5,89.0,263.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,12.0,5.86,60.125908558030474
Dallas,Texas,Dallas,100.1,67.4,86.0,253.5,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.06,67.20058616647125
Houston,Texas,Harris,101.3,67.3,86.6,255.2,1.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0,6.06,70.75287221570923
San Antonio,Texas,Bexar,98.9,63.8,83.7,246.4,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.06,68.35955451348185
Seattle,Washington,King,105.4,108.4,106.7,320.5,0.0,0.0,0.0,2.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.0,6.1,52.918522860492345
Milwaukee,Wisconsin,Milwaukee,97.9,111.7,103.9,313.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,8.18,48.036225087924954
